crashed,distance,dt,exception,lambda,mean_ego_speed,mean_iterations,min_ego_speed,min_speed,n_steps,nb_brakes,reward,rng_seed,solver,steps_in_lane,steps_to_lane,terminal
false,216.1701050931025,0.75,false,0.25,32.02520075453371,4750.222222222223,30.2752007545337,29.127687440669767,9,0,0.6634204312890623,40140,mlmpc,1,9,lane
false,782.1268485040467,0.75,false,0.25,34.76119326684652,3835.0333333333333,33.0486932668465,27.049559601017698,30,1,0.10401679621368314,40141,mlmpc,1,30,lane
false,490.75851314189515,0.75,false,0.25,24.234988303303464,4021.6666666666665,17.540543858859003,17.540543858859003,27,0,0.263520094465742,40142,mlmpc,1,27,lane
false,285.37165955307836,0.75,false,0.25,29.26888815929009,5246.0,26.672734313136246,26.672734313136246,13,0,0.5403600876626365,40143,mlmpc,1,13,lane
false,721.5578193606084,0.75,false,0.25,33.17507215451073,2933.689655172414,28.90783077520041,25.884640807833637,29,1,0.16482962917063904,40144,mlmpc,1,29,lane
false,304.34378076275084,0.75,false,0.25,23.87010045198046,4677.117647058823,19.23774751080399,19.23774751080399,17,0,0.44012666865176525,40145,mlmpc,1,17,lane
false,280.9074280775108,0.75,false,0.25,31.211936453056758,3487.5,29.961936453056758,25.93118051224993,12,1,0.4112377398453073,40146,mlmpc,1,12,lane
false,338.2035074807331,0.75,false,0.25,23.733579472332146,4662.0,18.207263682858454,18.207263682858454,19,0,0.3972143184582181,40147,mlmpc,1,19,lane
false,272.6974233456018,0.75,false,0.25,22.72478527880015,4769.125,17.568535278800155,17.568535278800155,16,0,0.46329123015975293,40148,mlmpc,1,16,lane
false,294.79515347712965,0.75,false,0.25,30.23540035662868,4018.5384615384614,29.196938818167133,28.692442157355913,13,0,0.5403600876626365,40149,mlmpc,1,13,lane
false,467.44414170104704,0.75,false,0.25,29.678993123876,4583.047619047619,27.839707409590304,27.314564906547897,21,0,0.35848592240854177,40150,mlmpc,1,21,lane
false,1011.1587616899311,0.75,false,0.25,32.88321176227418,34508.34146341463,26.563089811054653,26.563089811054653,41,0,0.0,40151,mlmpc,0,,distance
false,702.9475983898626,0.75,false,0.25,34.7134616488821,3110.3703703703704,30.616239426659902,27.854197709468288,27,2,0.06681390068237653,40152,mlmpc,1,27,lane
false,622.3626008287401,0.75,false,0.25,33.192672044199476,3426.36,31.617672044199473,29.254564013148695,25,0,0.2919890243387723,40153,mlmpc,1,25,lane
false,302.3664915529162,0.75,false,0.25,31.01194785158115,3552.3076923076924,29.771563236196528,27.634807653779838,13,1,0.3906758528530419,40154,mlmpc,1,13,lane
false,578.33203276931,0.75,false,0.25,24.8744960330886,3639.7096774193546,17.749496033088604,17.749496033088604,31,0,0.2146387639429372,40155,mlmpc,1,31,lane
false,255.58319481658484,0.75,false,0.25,30.97978118988907,5778.454545454545,26.99975580886414,24.64920092661629,11,2,0.23070738083994113,40156,mlmpc,1,11,lane
false,751.2530529636157,0.75,false,0.25,35.77395490302932,3330.964285714286,34.42127633160075,29.444534712393768,28,1,0.18775806730684114,40157,mlmpc,1,28,lane
false,338.5669240127247,0.75,false,0.25,32.24446895359283,3619.5714285714284,30.824826096449975,28.912417857737164,14,0,0.5133420832795047,40158,mlmpc,1,14,lane
false,313.98911248759623,0.75,false,0.25,27.910143332230778,4875.6,25.28514333223078,25.28514333223078,15,0,0.48767497911552943,40159,mlmpc,1,15,lane
false,993.8837820349281,0.75,false,0.25,30.818101768524905,17501.767441860466,27.16403200108305,26.399556780265183,43,1,0.08038328596341188,40160,mlmpc,1,43,lane
false,301.03408808873417,0.75,false,0.25,23.610516712841896,4720.764705882353,16.72816377166542,16.72816377166542,17,0,0.44012666865176525,40161,mlmpc,1,17,lane
false,379.23764202068935,0.75,false,0.25,22.984099516405415,4883.954545454545,17.70000860731451,17.70000860731451,22,0,0.34056162628811465,40162,mlmpc,1,22,lane
false,790.934702337185,0.75,false,0.25,35.15265343720822,3731.8,32.75265343720824,29.617649457117057,30,0,0.2259355409925655,40163,mlmpc,1,30,lane
false,269.44166108068254,0.75,false,0.25,32.65959528250698,4842.272727272727,31.602777100688797,28.75755741136646,11,0,0.5987369392383786,40164,mlmpc,1,11,lane
false,368.8468377029475,0.75,false,0.25,30.737236475245624,3801.625,27.080986475245616,26.071122150642765,16,0,0.46329123015975293,40165,mlmpc,1,16,lane
false,468.1373302128735,0.75,false,0.25,29.723005092880857,4433.666666666667,27.133719378595153,27.133719378595153,21,0,0.35848592240854177,40166,mlmpc,1,21,lane
false,818.8711517874755,0.75,false,0.25,33.08570310252426,3122.121212121212,30.80161219343335,29.87248591325498,33,0,0.1937114844585008,40167,mlmpc,1,33,lane
false,644.1201136897187,0.75,false,0.25,29.61471787079166,3718.310344827586,26.123338560446832,26.123338560446832,29,0,0.2378268852553321,40168,mlmpc,1,29,lane
false,529.2354757203434,0.75,false,0.25,22.76281616001477,3896.4193548387098,17.718461321305092,17.718461321305092,31,0,0.2146387639429372,40169,mlmpc,1,31,lane
